               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.023104,            0.068674,            0.010656,             0.96983,             0.95676,             0.97617,             0.77912,             0.02218,            0.051043,           0.0094558,            0.006436,            0.006436,            0.006436
                  38,            0.022718,            0.069038,            0.010836,             0.97165,             0.95966,             0.97585,             0.79101,             0.02082,            0.050025,           0.0094698,            0.006337,            0.006337,            0.006337
                  39,            0.022238,            0.067923,            0.010472,             0.96735,             0.95937,             0.97578,             0.79165,            0.020996,            0.050026,           0.0093246,            0.006238,            0.006238,            0.006238
                  40,            0.021799,            0.066894,            0.010578,             0.97143,             0.95816,             0.97652,             0.79227,            0.020463,             0.04952,           0.0091568,            0.006139,            0.006139,            0.006139
                  41,            0.021839,            0.066615,            0.010196,             0.96937,              0.9567,             0.97606,             0.78681,            0.020718,             0.05074,            0.009306,             0.00604,             0.00604,             0.00604
                  42,            0.022193,            0.066529,            0.010155,             0.97342,             0.95777,             0.97732,             0.79553,            0.020431,            0.049634,           0.0091006,            0.005941,            0.005941,            0.005941
                  43,            0.022239,            0.067699,            0.010234,             0.97307,             0.95593,             0.97578,             0.79765,            0.020408,            0.049831,            0.009184,            0.005842,            0.005842,            0.005842
                  44,            0.021626,            0.066892,            0.010155,             0.97495,             0.95418,             0.97454,             0.79569,            0.020467,            0.050321,            0.009079,            0.005743,            0.005743,            0.005743
                  45,            0.021582,            0.063881,            0.010139,             0.97117,             0.95808,             0.97495,             0.79602,            0.020413,             0.05055,           0.0091353,            0.005644,            0.005644,            0.005644
                  46,            0.021321,             0.06506,           0.0099681,             0.96811,             0.95684,             0.97438,              0.7908,            0.020873,            0.050642,            0.009055,            0.005545,            0.005545,            0.005545
                  47,            0.021749,            0.064867,            0.010085,              0.9693,             0.95976,             0.97485,             0.79008,            0.020799,            0.050945,           0.0091238,            0.005446,            0.005446,            0.005446
                  48,            0.021455,            0.064751,           0.0099973,             0.96985,             0.96117,             0.97515,             0.79411,            0.020388,            0.050107,           0.0090679,            0.005347,            0.005347,            0.005347
                  49,            0.021444,            0.064815,            0.009993,             0.97158,             0.95278,             0.97512,             0.78847,            0.020894,            0.050712,           0.0090566,            0.005248,            0.005248,            0.005248
                  50,            0.021773,            0.065543,           0.0096625,             0.97322,              0.9609,             0.97775,             0.79245,            0.021143,            0.050764,           0.0090538,            0.005149,            0.005149,            0.005149
                  51,            0.021118,            0.063806,           0.0099791,             0.97423,              0.9561,             0.97602,             0.79475,            0.020572,            0.050471,           0.0089782,             0.00505,             0.00505,             0.00505
