               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.023984,            0.069676,           0.0095183,             0.97097,             0.95927,             0.97844,             0.78577,            0.020549,            0.052527,           0.0086286,            0.008812,            0.008812,            0.008812
                  38,            0.023513,            0.069278,           0.0096183,             0.96911,             0.96109,             0.97805,             0.78933,            0.020632,            0.051029,           0.0087099,            0.008779,            0.008779,            0.008779
                  39,            0.023817,             0.06828,           0.0092782,             0.97099,             0.96144,             0.97824,             0.79287,            0.020018,            0.050959,           0.0086644,            0.008746,            0.008746,            0.008746
                  40,            0.023062,            0.069737,           0.0092859,             0.97078,             0.96401,             0.97983,              0.7848,            0.021022,            0.051618,           0.0085589,            0.008713,            0.008713,            0.008713
                  41,            0.023801,            0.069752,           0.0092846,             0.97267,             0.96286,             0.97841,             0.79232,             0.02006,            0.051058,           0.0084824,             0.00868,             0.00868,             0.00868
                  42,            0.023488,            0.070091,           0.0091759,             0.97192,             0.96468,             0.97923,             0.78745,            0.020921,            0.051058,           0.0084192,            0.008647,            0.008647,            0.008647
                  43,            0.023222,            0.065933,           0.0091993,             0.97319,             0.96539,             0.98053,             0.79659,            0.019888,            0.050455,           0.0083181,            0.008614,            0.008614,            0.008614
                  44,            0.023806,            0.067957,           0.0091813,             0.96925,             0.96587,             0.97884,             0.78275,            0.020712,            0.051214,           0.0083483,            0.008581,            0.008581,            0.008581
                  45,            0.023173,            0.068675,           0.0090439,             0.97156,             0.96604,             0.97849,             0.79614,            0.019582,            0.050733,             0.00834,            0.008548,            0.008548,            0.008548
                  46,            0.022656,            0.066295,           0.0090464,             0.97274,               0.965,             0.97881,             0.79285,            0.020214,            0.050868,           0.0081186,            0.008515,            0.008515,            0.008515
                  47,            0.023267,            0.067133,           0.0089379,             0.97363,             0.96494,              0.9781,             0.78737,            0.020791,            0.052511,           0.0080441,            0.008482,            0.008482,            0.008482
                  48,            0.022476,            0.065863,           0.0088244,             0.97313,             0.96315,             0.97866,             0.79281,            0.019766,            0.051424,            0.008197,            0.008449,            0.008449,            0.008449
                  49,            0.023281,            0.069755,           0.0088093,             0.97119,             0.96364,             0.97828,             0.78746,            0.020843,            0.051552,           0.0082081,            0.008416,            0.008416,            0.008416
                  50,            0.022581,            0.065113,           0.0087563,             0.96651,             0.95976,             0.97564,             0.78802,            0.019639,            0.052154,           0.0088663,            0.008383,            0.008383,            0.008383
                  51,            0.021428,            0.066433,           0.0086796,             0.97133,             0.96766,             0.97875,             0.79892,            0.019276,            0.050916,           0.0081425,             0.00835,             0.00835,             0.00835
                  52,            0.022386,            0.065646,           0.0086012,             0.97193,             0.96538,             0.97784,             0.78601,             0.02043,            0.051901,           0.0082855,            0.008317,            0.008317,            0.008317
                  53,            0.023016,            0.066296,           0.0086902,             0.97103,             0.96266,             0.97765,              0.7969,            0.019152,            0.051105,           0.0082935,            0.008284,            0.008284,            0.008284
                  54,            0.021783,            0.065886,            0.008691,             0.97185,             0.96374,             0.97862,             0.79311,            0.019617,            0.051686,           0.0080002,            0.008251,            0.008251,            0.008251
                  55,            0.022704,            0.066714,            0.008477,             0.97288,             0.96553,             0.97721,             0.79877,            0.019115,             0.05139,           0.0080665,            0.008218,            0.008218,            0.008218
                  56,             0.02181,            0.064634,           0.0086875,             0.97174,             0.95928,             0.97705,             0.78751,            0.020107,            0.051815,           0.0081507,            0.008185,            0.008185,            0.008185
                  57,            0.022228,            0.066695,           0.0085912,             0.97779,             0.96497,             0.98072,             0.79895,            0.018915,            0.051096,           0.0080098,            0.008152,            0.008152,            0.008152
                  58,            0.021725,            0.064288,           0.0084743,             0.97283,             0.96723,             0.97993,             0.79814,            0.019678,            0.050927,            0.007793,            0.008119,            0.008119,            0.008119
                  59,            0.021299,            0.064647,           0.0084416,             0.97355,             0.96429,             0.97922,              0.7975,            0.019154,            0.050759,           0.0079018,            0.008086,            0.008086,            0.008086
                  60,            0.021747,            0.064091,           0.0084457,             0.96938,             0.96293,             0.97651,              0.7878,            0.020081,            0.052173,           0.0079334,            0.008053,            0.008053,            0.008053
                  61,            0.022373,            0.065193,           0.0085207,              0.9725,             0.95829,             0.97729,             0.79828,            0.019053,            0.052148,           0.0087263,             0.00802,             0.00802,             0.00802
                  62,            0.022163,            0.066431,           0.0083939,             0.97243,              0.9658,             0.97955,             0.79696,            0.019715,            0.051396,           0.0078786,            0.007987,            0.007987,            0.007987
                  63,             0.02235,            0.066578,           0.0084004,             0.97519,             0.96444,             0.98044,             0.80238,            0.019035,            0.051399,           0.0079217,            0.007954,            0.007954,            0.007954
