               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.019369,            0.077561,           0.0073404,               0.945,             0.93776,             0.96077,              0.7981,            0.018497,            0.057896,            0.007479,            0.006535,            0.006535,            0.006535
                  37,            0.018801,             0.07963,           0.0072816,             0.94792,             0.93752,             0.96014,             0.79589,            0.017951,            0.058519,           0.0072939,            0.006436,            0.006436,            0.006436
                  38,            0.019217,            0.079032,           0.0073207,             0.93209,             0.93298,             0.95608,             0.78797,            0.018625,            0.061719,           0.0077475,            0.006337,            0.006337,            0.006337
                  39,            0.018774,            0.077657,           0.0072326,             0.94123,              0.9392,             0.95994,             0.79547,            0.018202,             0.05891,           0.0074104,            0.006238,            0.006238,            0.006238
                  40,            0.018371,            0.076642,           0.0070206,             0.94976,             0.94042,              0.9615,             0.79909,             0.01829,            0.059026,           0.0072161,            0.006139,            0.006139,            0.006139
                  41,            0.018848,            0.077257,           0.0070035,             0.94667,              0.9401,             0.96109,             0.80055,            0.017931,            0.059392,           0.0072106,             0.00604,             0.00604,             0.00604
                  42,            0.018515,            0.077618,           0.0068283,             0.94686,             0.93921,             0.96108,             0.79943,            0.018118,            0.058908,           0.0072732,            0.005941,            0.005941,            0.005941
                  43,             0.01827,            0.077151,           0.0070288,             0.94412,             0.92383,             0.95677,             0.79039,            0.018542,            0.061652,           0.0077106,            0.005842,            0.005842,            0.005842
                  44,            0.018017,            0.075323,           0.0068273,             0.94834,             0.94049,             0.96055,             0.79722,            0.018402,            0.059847,           0.0072287,            0.005743,            0.005743,            0.005743
                  45,            0.017981,            0.075702,           0.0066788,             0.94429,              0.9358,             0.95822,              0.7963,            0.017801,            0.059719,           0.0072296,            0.005644,            0.005644,            0.005644
                  46,            0.018076,            0.076016,           0.0065232,             0.94452,              0.9354,             0.95732,             0.79641,            0.017999,            0.061046,           0.0076542,            0.005545,            0.005545,            0.005545
                  47,            0.017869,            0.076132,           0.0067036,             0.94454,             0.93236,             0.95807,             0.79343,            0.017966,            0.060303,           0.0074154,            0.005446,            0.005446,            0.005446
                  48,            0.017486,            0.074454,           0.0066122,             0.94522,             0.93367,             0.95771,             0.79811,            0.018066,            0.060463,           0.0073672,            0.005347,            0.005347,            0.005347
                  49,            0.017404,            0.073547,           0.0065458,             0.94157,             0.93486,             0.95807,             0.79759,            0.017861,            0.059925,           0.0073244,            0.005248,            0.005248,            0.005248
                  50,            0.017337,            0.074629,           0.0066359,             0.94519,             0.94072,             0.96117,              0.8004,             0.01776,            0.059699,           0.0071107,            0.005149,            0.005149,            0.005149
                  51,            0.017532,            0.075781,           0.0063707,             0.94789,             0.94071,             0.96073,             0.80271,            0.017647,            0.059301,           0.0070265,             0.00505,             0.00505,             0.00505
                  52,             0.01681,            0.073242,           0.0064047,             0.94675,             0.93804,             0.95961,             0.80172,            0.017561,            0.059293,            0.007113,            0.004951,            0.004951,            0.004951
                  53,             0.01683,            0.073412,           0.0062299,             0.94127,              0.9367,             0.96012,             0.80182,            0.017828,            0.060479,           0.0071983,            0.004852,            0.004852,            0.004852
                  54,            0.016914,            0.072883,            0.006272,             0.94561,             0.93527,             0.95929,             0.80015,            0.017728,            0.060612,           0.0071343,            0.004753,            0.004753,            0.004753
                  55,            0.016671,            0.070804,           0.0062091,             0.94706,             0.93259,             0.95586,             0.80129,            0.017738,            0.061073,           0.0072052,            0.004654,            0.004654,            0.004654
                  56,            0.016529,            0.072555,           0.0060611,             0.95257,             0.94282,             0.96264,             0.80578,            0.017457,            0.059606,            0.006935,            0.004555,            0.004555,            0.004555
                  57,             0.01668,            0.071904,           0.0061898,              0.9481,             0.93916,             0.96067,             0.80594,            0.017272,            0.058816,           0.0070638,            0.004456,            0.004456,            0.004456
                  58,            0.016332,            0.071582,           0.0061181,             0.95203,             0.94103,             0.96216,             0.80548,            0.017294,            0.059921,           0.0068865,            0.004357,            0.004357,            0.004357
                  59,            0.016143,            0.070589,            0.006148,             0.94451,             0.93933,             0.95978,              0.8063,            0.017236,            0.060251,            0.006939,            0.004258,            0.004258,            0.004258
                  60,            0.016528,            0.070998,           0.0059458,              0.9473,             0.93603,             0.95781,             0.80069,            0.017567,            0.061218,           0.0069283,            0.004159,            0.004159,            0.004159
                  61,            0.016234,            0.069063,           0.0060269,             0.94802,              0.9344,             0.95763,             0.80029,            0.017676,            0.062232,            0.007089,             0.00406,             0.00406,             0.00406
                  62,            0.016207,            0.069763,           0.0058556,             0.94671,             0.93664,              0.9573,             0.80508,             0.01735,            0.060408,           0.0069748,            0.003961,            0.003961,            0.003961
                  63,            0.016097,            0.069345,           0.0059617,             0.94957,             0.93778,             0.95773,             0.80174,             0.01736,            0.061244,           0.0069297,            0.003862,            0.003862,            0.003862
                  64,            0.015407,            0.069168,           0.0059316,             0.95165,             0.94154,             0.96009,             0.80729,            0.017241,            0.060699,           0.0067491,            0.003763,            0.003763,            0.003763
                  65,             0.01546,              0.0681,           0.0058744,             0.95094,             0.94138,             0.96019,             0.80619,            0.017114,            0.061074,           0.0066595,            0.003664,            0.003664,            0.003664
                  66,             0.01576,            0.070228,           0.0057843,             0.94534,             0.94079,             0.95798,             0.80372,            0.017465,            0.061153,           0.0067633,            0.003565,            0.003565,            0.003565
                  67,            0.015266,            0.067053,           0.0057411,             0.94837,             0.94299,             0.95977,             0.80751,            0.017164,            0.061255,           0.0067203,            0.003466,            0.003466,            0.003466
                  68,            0.014941,            0.067032,           0.0056854,             0.95118,             0.94077,             0.95875,             0.80781,            0.017147,            0.060497,           0.0066993,            0.003367,            0.003367,            0.003367
                  69,            0.015218,            0.067247,           0.0055706,              0.9482,             0.94327,             0.96124,             0.80695,            0.017071,             0.06077,           0.0066871,            0.003268,            0.003268,            0.003268
                  70,            0.015275,            0.066152,           0.0055919,             0.94648,             0.94403,             0.96153,             0.81075,            0.017054,            0.060861,           0.0066759,            0.003169,            0.003169,            0.003169
                  71,            0.014827,            0.068058,           0.0055839,             0.94536,             0.94049,             0.95876,             0.80542,            0.017238,            0.062041,           0.0069162,             0.00307,             0.00307,             0.00307
                  72,            0.014732,            0.065091,           0.0053292,             0.95125,             0.93994,             0.96124,             0.80929,            0.017249,            0.061734,           0.0066912,            0.002971,            0.002971,            0.002971
                  73,            0.014664,            0.066545,           0.0054212,             0.95136,              0.9413,             0.96084,             0.80947,            0.017098,            0.061497,           0.0066525,            0.002872,            0.002872,            0.002872
                  74,            0.014258,             0.06408,           0.0052694,             0.94626,             0.94154,             0.95987,             0.80565,            0.017241,            0.063007,           0.0067651,            0.002773,            0.002773,            0.002773
                  75,            0.014452,            0.064982,            0.005404,             0.94804,             0.94445,              0.9628,             0.81279,            0.016812,            0.061432,           0.0064233,            0.002674,            0.002674,            0.002674
                  76,            0.014073,            0.065244,           0.0053824,             0.95186,             0.94258,             0.96072,             0.80922,            0.017032,             0.06245,           0.0066178,            0.002575,            0.002575,            0.002575
                  77,            0.013773,            0.062707,           0.0052505,             0.95191,             0.94013,             0.96069,             0.80967,            0.017007,            0.061453,            0.006575,            0.002476,            0.002476,            0.002476
                  78,            0.013957,            0.063635,           0.0052467,             0.94983,             0.94101,             0.95975,             0.80702,            0.017078,            0.062553,           0.0065735,            0.002377,            0.002377,            0.002377
                  79,            0.013917,            0.064191,            0.005154,             0.94868,             0.94407,             0.96154,             0.81184,            0.016801,            0.061923,           0.0066082,            0.002278,            0.002278,            0.002278
                  80,            0.013746,            0.063818,           0.0052228,             0.94983,             0.94148,             0.95923,             0.80682,            0.017139,             0.06336,           0.0067496,            0.002179,            0.002179,            0.002179
                  81,             0.01365,            0.062805,           0.0051611,             0.95056,             0.93948,             0.96111,             0.80977,            0.016963,            0.062402,           0.0065494,             0.00208,             0.00208,             0.00208
                  82,            0.013638,            0.062611,           0.0051153,             0.94806,             0.94021,             0.95976,             0.80602,            0.017046,            0.063099,           0.0067003,            0.001981,            0.001981,            0.001981
                  83,             0.01343,            0.062662,           0.0050498,             0.94608,             0.94235,             0.96003,             0.80807,            0.017021,            0.063675,           0.0067214,            0.001882,            0.001882,            0.001882
                  84,            0.013302,            0.062056,           0.0049943,             0.94841,             0.93742,             0.96031,             0.80967,            0.017003,            0.064011,            0.006667,            0.001783,            0.001783,            0.001783
                  85,            0.013203,            0.062966,           0.0049242,             0.94971,              0.9428,             0.96062,              0.8102,            0.016875,             0.06298,           0.0065509,            0.001684,            0.001684,            0.001684
                  86,             0.01312,             0.06208,           0.0051168,             0.95207,             0.93924,             0.95897,             0.81025,             0.01693,            0.063584,            0.006528,            0.001585,            0.001585,            0.001585
                  87,            0.012973,            0.062551,            0.004913,              0.9487,             0.94555,              0.9621,             0.81194,            0.016798,             0.06366,           0.0064735,            0.001486,            0.001486,            0.001486
                  88,            0.012764,            0.060982,           0.0047841,             0.95172,             0.94136,             0.95983,             0.81099,            0.016825,            0.063442,           0.0065785,            0.001387,            0.001387,            0.001387
                  89,            0.012861,            0.061209,           0.0048249,             0.95016,             0.94392,             0.96018,             0.81058,            0.016929,            0.063621,           0.0065552,            0.001288,            0.001288,            0.001288
                  90,            0.012682,            0.061317,           0.0049177,             0.94783,             0.94525,             0.96059,             0.81066,            0.016816,            0.063936,           0.0065504,            0.001189,            0.001189,            0.001189
                  91,            0.012651,             0.05996,           0.0048147,             0.95235,             0.94275,             0.96082,             0.81194,            0.016762,            0.063799,           0.0064702,             0.00109,             0.00109,             0.00109
                  92,            0.012641,            0.059902,           0.0048444,             0.94834,             0.94542,             0.96057,             0.81244,            0.016735,            0.063759,           0.0064377,            0.000991,            0.000991,            0.000991
                  93,            0.012488,            0.060879,           0.0047463,             0.94922,             0.94483,             0.96055,             0.80895,            0.016938,            0.064285,           0.0064936,            0.000892,            0.000892,            0.000892
                  94,            0.012393,            0.059737,           0.0046883,               0.951,             0.94377,             0.96089,             0.81172,            0.016777,            0.063484,            0.006448,            0.000793,            0.000793,            0.000793
                  95,            0.012423,            0.058757,           0.0046971,             0.95089,              0.9445,             0.96106,             0.81317,            0.016648,            0.063717,           0.0063683,            0.000694,            0.000694,            0.000694
                  96,            0.012244,            0.060257,           0.0046156,             0.95031,             0.94483,             0.96092,             0.81306,            0.016669,            0.063928,           0.0063244,            0.000595,            0.000595,            0.000595
                  97,             0.01218,            0.058555,           0.0045813,             0.95057,             0.94433,             0.96126,             0.81332,            0.016679,            0.063937,           0.0063284,            0.000496,            0.000496,            0.000496
                  98,            0.012299,            0.059478,           0.0046688,             0.95227,             0.94407,             0.96153,             0.81281,             0.01666,            0.063896,           0.0063868,            0.000397,            0.000397,            0.000397
                  99,            0.012161,            0.058289,           0.0046855,             0.94977,             0.94453,             0.96142,             0.81143,            0.016743,            0.064205,           0.0064142,            0.000298,            0.000298,            0.000298
